Comment,Designator,Footprint,LCSC
"47uF","C1","Capacitor_SMD:C_1206_3216Metric","C96123"
"22uF","C2","Capacitor_SMD:C_0805_2012Metric","C45783"
"100nF","C3,C4,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"4.7uF","C5,C7","Capacitor_SMD:C_0402_1005Metric","C23733"
"10nF","C8","Capacitor_SMD:C_0402_1005Metric","C15195"
"1uF","C9","Capacitor_SMD:C_0402_1005Metric","C52923"
"LED","D1,D2,D3,D4,D5,D6,D7,D8","LED_SMD:LED_0603_1608Metric","C72041"
"USB_B","J1","Connector_USB:USB_B_Lumberg_2411_02_Horizontal",""
"Conn_02x10_Odd_Even","J2","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical",""
"Conn_01x16","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-16_1x16_P5.00mm_Horizontal",""
"10k","R1","Resistor_SMD:R_0805_2012Metric","C17414"
"470","R2,R3,R4,R5,R10,R11,R12,R13","Resistor_SMD:R_0805_2012Metric","C17710"
"750","R6,R7,R8,R9,R14,R15,R16,R17","Resistor_SMD:R_0805_2012Metric","C17818"
"STM32F042K6Tx","U1","Package_QFP:LQFP-32_7x7mm_P0.8mm","C69216"
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"ULN2803A","U3","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","C9683"
"AQY212GS","U4,U5,U6,U7,U8,U9,U10,U11","Package_SO:SO-4_4.4x4.3mm_P2.54mm","C129283"
