Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","C_1206_3216Metric",182.372000,-85.090000,270.000000,top
"C2","22uF","C_0805_2012Metric",182.372000,-89.408000,270.000000,top
"C3","100nF","C_0402_1005Metric",148.940000,-86.152000,180.000000,top
"C4","100nF","C_0402_1005Metric",148.940000,-87.422000,180.000000,top
"C5","4.7uF","C_0402_1005Metric",148.940000,-84.882000,180.000000,top
"C6","100nF","C_0402_1005Metric",148.322000,-71.976000,0.000000,top
"C7","4.7uF","C_0402_1005Metric",148.322000,-70.706000,0.000000,top
"C8","10nF","C_0402_1005Metric",154.828000,-82.186000,90.000000,top
"C9","1uF","C_0402_1005Metric",153.558000,-82.186000,90.000000,top
"D1","LED","LED_0603_1608Metric",134.850000,-105.250000,0.000000,top
"D2","LED","LED_0603_1608Metric",144.850000,-105.250000,0.000000,top
"D3","LED","LED_0603_1608Metric",154.850000,-105.250000,0.000000,top
"D4","LED","LED_0603_1608Metric",164.850000,-105.250000,0.000000,top
"D5","LED","LED_0603_1608Metric",174.850000,-105.250000,0.000000,top
"D6","LED","LED_0603_1608Metric",184.850000,-105.250000,0.000000,top
"D7","LED","LED_0603_1608Metric",194.850000,-105.250000,0.000000,top
"D8","LED","LED_0603_1608Metric",204.850000,-105.250000,0.000000,top
"R1","10k","R_0805_2012Metric",153.670000,-84.328000,180.000000,top
"R2","470","R_0805_2012Metric",138.350000,-102.250000,270.000000,top
"R3","470","R_0805_2012Metric",148.350000,-102.250000,270.000000,top
"R4","470","R_0805_2012Metric",158.350000,-102.250000,270.000000,top
"R5","470","R_0805_2012Metric",168.350000,-102.250000,270.000000,top
"R6","750","R_0805_2012Metric",138.350000,-98.250000,270.000000,top
"R7","750","R_0805_2012Metric",148.350000,-98.250000,270.000000,top
"R8","750","R_0805_2012Metric",158.350000,-98.250000,270.000000,top
"R9","750","R_0805_2012Metric",168.350000,-98.250000,270.000000,top
"R10","470","R_0805_2012Metric",178.350000,-102.250000,270.000000,top
"R11","470","R_0805_2012Metric",188.350000,-102.250000,270.000000,top
"R12","470","R_0805_2012Metric",198.350000,-102.250000,270.000000,top
"R13","470","R_0805_2012Metric",208.350000,-102.250000,270.000000,top
"R14","750","R_0805_2012Metric",178.350000,-98.250000,270.000000,top
"R15","750","R_0805_2012Metric",188.350000,-98.250000,270.000000,top
"R16","750","R_0805_2012Metric",198.350000,-98.337500,270.000000,top
"R17","750","R_0805_2012Metric",208.350000,-98.250000,270.000000,top
"U1","STM32F042K6Tx","LQFP-32_7x7mm_P0.8mm",148.258000,-78.310000,45.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",176.452000,-87.454000,0.000000,top
"U3","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm",164.846000,-87.884000,180.000000,top
"U4","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",134.850000,-100.250000,270.000000,top
"U5","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",144.850000,-100.250000,270.000000,top
"U6","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",154.850000,-100.250000,270.000000,top
"U7","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",164.850000,-100.250000,270.000000,top
"U8","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",174.850000,-100.250000,270.000000,top
"U9","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",184.850000,-100.250000,270.000000,top
"U10","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",194.850000,-100.250000,270.000000,top
"U11","AQY212GS","SO-4_4.4x4.3mm_P2.54mm",204.850000,-100.250000,270.000000,top
